"","firstname","surname","party","Eutanasia.pitäisi.sallia.","Haluaisin.että.alueeni.terveyspalveluiden.tuottaja.on.mieluummin.julkinen.kuin.yksityinen.","Homo..ja.lesbopareilla.pitää.olla.samat.avioliitto..ja.adoptio.oikeudet.kuin.heteropareilla.","Hyvä.veli..verkostot.ohjaavat.kuntien.päätöksentekoa.","Jos.kansalaisen.terveysongelmien.voidaan.katsoa.johtua.omista.elintavoista..hänen.pitäisi.osallistua.hoidon.kustannuksiin.","Jos.tulee.eteen.tilanne..jossa.on.välttämätöntä.joko.leikata.julkisia.palveluita.ja.sosiaalietuuksia.tai.korottaa.veroja..veronkorotukset.ovat.parempi.vaihtoehto.","Jos.valtio.tarjoaa.turvapaikanhakijoiden.vastaanottokeskuksen.perustamista.kotikuntaani..tarjous.pitää.hyväksyä.","Julkisia.palveluita.pitäisi.ulkoistaa.nykyistä.enemmän.kunnilta.yrityksille.","Julkisia.palveluita.tulisi.ulkoistaa.entistä.enemmän.yksityisten.yritysten.tuotettavaksi.","Julkisten.terveyspalvelujen.asiakasmaksut.tulisi.poistaa.kokonaan.","Kaikessa.päätöksenteossa.pitäisi.arvioida.vaikutukset.ympäristöön.ja.tarvittaessa.luopua.ympäristölle.haitallisista.hankkeista.","Kannatan.kotikuntani.liittämistä.isompaan.kuntaan.tai.kuntien.yhdistymistä.kotikuntani.kanssa.","Kasvisruoan.määrää.pitäisi.lisätä.kouluissa.ja.liharuuan.vähentää.","Kerjääminen.kaduilla.pitäisi.kieltää.lailla.","Kirjastojen.kirjoista.pitäisi.maksaa.lainausmaksua.kunnan.taloustilanteen.helpottamiseksi.","Kirjastojen.pitäisi.keskittyä.kirjoihin..eikä.laajentua.enempää.tavaroiden.lainaamiseen.tai.muille.vastaaville.uusille.alueille","Koko.Suomi.on.syytä.pitää.asuttuna..vaikka.se.tietäisikin.veronmaksajille.kustannuksia.","Koko.Suomi.tulisi.pitää.asuttuna..vaikka.se.kävisikin.kalliiksi.veronmaksajille.","Kotikunnassani.pitäisi.olla.maksuton.julkinen.liikenne..vaikka.se.nostaisi.veroäyriä.","Kotikuntani.pitäisi.ottaa.aktiivisesti.vastaan.kotoutettavia.turvapaikanhakijoita.","Kouluissa.kohdellaan.koululaisia.liian.lepsusti..Tiukempi.kuri.tekisi.kouluista.parempia.","Koulujen.liikuntatuntien.pitäisi.olla.tytöille.ja.pojille.yhteiset.","Koululuokat.pitäisi.jakaa.oppilaiden.lahjakkuuden.perusteella.tasoryhmiin.","Koululuokissa.tulisi.olla.ylärajat.maahanmuuttajalasten.osuudelle.","Kulttuuripalveluista..museot..teatterit..orkesterit..voidaan.säästää.leikkaamalla.","Kunnassani.on.tärkeämpää.huolehtia.yksityisautoilun.edellytyksistä.kuin.joukkoliikenteestä.","Kuntalaisten.valitusoikeutta.kaavoituskysymyksissä.tulee.rajoittaa.","Kuntani.nykyinen.kouluverkko.tulee.säilyttää.sellaisenaan..vaikka.se.aiheuttaisi.kustannuksia.kuntalaisille.","Kuntani.pitäisi.luopua.vaatimuksesta.rakentaa.autopaikkoja.uusien.asuntojen.yhteyteen.","Kuntani.pitäisi.rohkeammin.käyttää.maiden.pakkolunastuksia.kaavoituksen.vauhdittamiseksi.","Kuntani.pitäisi.tukea.rahallisesti.lasten.hoitamista.kotona.nykyistä.enemmän.","Kuntani.pitää.auttaa.ihmisiä..vaikka.he.oleskelisivat.Suomessa.laittomasti.","Kuntani.pitää.taata.kokopäiväinen.päivähoitopaikka.kaikille.alle.3.vuotiaille..vaikka.näiden.vanhemmista.toinen.olisikin.kotona.","Kuntien.virkoja.täytettäessä.pitäisi.olla.sukupuolikiintiöt.","Lasten.päivähoidon.hinta.pitäisi.suhteuttaa.nykyistä.vahvemmin.vanhempien.tuloihin.","Maahanmuuttajataustaisten.lasten.osuudella.koululuokassa.pitäisi.olla.yläraja.","Monikulttuurisuus.on.kunnalle.hyvä.asia.","Nykyisen.kaltaiset.palvelut.ja.sosiaalietuudet.ovat.pitemmän.päälle.liian.raskaita.julkiselle.taloudelle.","On.parempi..että.kunta.nostaa.veroäyriä.kuin.että.se.leikkaa.palveluistaan.","Oppilaiden.kännykät.pitäisi.jättää.oppitunnin.ajaksi.luokkahuoneen.ulkopuolelle.","Perinteiset.arvot...kuten.koti..uskonto.ja.isänmaa...muodostavat.hyvän.arvopohjan.politiikalle.","Pyörätiet.ja.jalkakäytävät.pitäisi.puhdistaa.lumesta.ja.hiekoittaa.ennen.autoteitä.","Pääomatuloista.pitäisi.maksaa.veroa.kotikuntaan.siinä.missä.ansiotuloistakin.","Rikkaiden.asuinalueilla.ei.tarvita.yhtä.hyviä.julkisia.palveluita.kuin.vähävaraisilla.","Suomalaisten.auttaminen.pitäisi.olla.etusijalla.ulkomaalaisiin.verrattuna.","Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Talouskasvu.ja.työpaikkojen.luominen.tulisi.asettaa.ympäristöasioiden.edelle..silloin.kun.nämä.kaksi.ovat.keskenään.ristiriidassa.","Tuloerojen.kasvusta.on.haittaa.yhteiskunnalle.","Vanhempien.oikeutta.valita.lastensa.koulu.tulisi.rajoittaa."
"4204","Juho","Kumpulainen","kesk",5,1,5,5,4,4,5,1,4,2,5,5,4,2,1,1,2,1,1,4,1,2,4,1,4,2,5,1,5,5,5,2,1,4,4,1,4,4,4,5,4,1,4,1,4,4,4,2,1
"4224","Jukka I.","Mattila","kok",3,3,1,4,5,2,1,4,4,2,4,5,1,4,1,2,3,3,2,1,4,4,4,5,1,3,3,5,1,1,1,3,2,1,5,5,1,5,2,5,5,3,3,1,5,4,2,2,1
"4244","Jukka","Ihanus","kesk",3,2,5,3,2,4,4,2,2,2,2,2,4,2,1,3,4,4,2,3,4,4,2,2,2,2,4,2,4,4,2,2,4,2,4,2,4,2,4,4,2,4,4,2,4,2,2,5,2
"4254","Jukka","Järvinen","sdp",5,4,5,2,2,4,4,2,2,4,4,1,4,2,1,4,4,4,4,4,4,2,2,2,2,2,4,1,2,4,2,4,4,2,2,2,5,2,4,4,4,2,2,4,2,4,4,4,2
"4279","Jukka","Lariola","vas",5,5,5,4,3,5,5,1,1,5,5,4,4,2,1,2,2,2,4,5,2,5,2,1,2,1,4,5,5,1,3,5,5,2,3,1,4,1,4,4,1,4,4,2,1,1,1,5,2
"4280","Jukka","Lasarov","kesk",2,4,2.5,2,4,2,2,4,4,2,5,4,4,5,2,4,2,2,2,2,2,4,2,2,2,1,4,4,2,2,2,2,2,4,2,4,4,4,2,5,4,4,4,2,2,2,2,2,2
"4302","Jukka","Pakarinen","kok",3,2,5,2,2,2,4,4,4,2,4,4,2,2,2,2,4,4,4,4,1,2,4,2,4,2,4,4,2,4,4,3,2,4,4,2,4,4,2,1,4,2,2,1,3,4,2,1,2
"4330","Jukka","Salmi","kd",1,4,1,4,1,4,5,2,2,2,1,1,2,4,1,5,5,4,4,4,5,4,2,4,4,2,2,5,4,2,5,1,2,1,2,4,4,2,4,5,5,2,5,2,4,1,2,5,4
"4364","Julius","Halme","pir",5,5,5,5,1,5,4,1,1,5,4,1,4,1,1,1,3,3,5,3,3,3,2,3,1,1,1,3,4,2,3,4,3,1,3,3,3,1,5,1,1,5,5,3,1,1,1,5,3
"4378","Jussi","Chydenius","vihr",5,2,5,2,4,4,5,2,2,1,5,4,5,4,1,2,4,4,2,5,3,2,2,2,1,1,2,4,5,2,3,5,3,4,4,4,5,4,4,5,2,2,5,1,2,2,2,4,2
"4384","Jussi","Halla-aho","ps",4,2,2,5,4,1,1,2,2,1,4,1,2,5,1,4,1,2,1,1,4,3,3,1,4,2,4,3,4,1,3,1,3,1,2,1,2,4,1,5,4,2,3,1,5,4,4,2,2
"4423","Jussi","Lindström","ps",1,4,1,4,2,3,1,1,1,4,5,4,1,4,1,5,4,2,4,1,5,4,4,5,4,2,1,2,1,1,5,1,1,1,5,5,1,4,3,5,5,2,5,4,5,2,2,4,2
"4434","Jussi","Niinistö","ps",1,4,2,2,2,4,2,2,2,2,4,1,1,4,1,4,5,5,1,2,4,1,4,3,2,2,4,4,4,3,2,2,2,1,2,3,2,4,4,5,5,2,3,2,5,2,4,4,2
"4469","Jussi-Petteri","Lappi","skp",4,5,5,5,2,4,5,1,1,5,5,1,4,1,1,2,5,5,4,4,4,4,1,4,1,1,1,5,4,1,1,5,2,4,1,4,5,1,4,4,2,4,5,2,1,2,1,5,4
"4470","Justus","Mollberg","vas",3,5,5,5,1,5,5,1,1,5,5,4,5,1,1,1,2,1,5,5,1,5,1,1,1,1,2,5,4,2,2,5,5,5,5,1,5,1,4,2,1,2,2,1,1,1,1,5,4
"4550","Kaarin","Taipale","sdp",4,5,5,4,2,5,5,1,1,5,5,3,5,1,1,2,2,2,2,5,1,3,3,2,1,1,1,5,2,5,1,5,5,2,3,2,5,1,5,4,1,4,2,1,1,1,1,5,2
"4584","Kai","Magnusson","vihr",5,1,5,2,4,4,5,2,2,2,5,5,5,5,1,1,2,2,1,5,2,2,2,2,1,1,4,1,4,4,3,2,2,3,3,2,5,2,2,4,2,1,5,1,1,2,4,5,4
"4585","Kai","Maijola","ps",4,3,4,4,1,4,1,2,4,2,4,2,2,5,1,4,5,5,2,1,4,1,2,5,2,2,1,4,2,2,5,1,2,1,4,4,2,1,4,4,5,1,4,4,5,1,4,5,1
"4611","Kaija","Lehtinen","kd",1,4,1,3,2,2,2,3,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,2,2,2,2,2,4,4,2,2,2,2,2,2,4,2,4,2,2,2,4,2,2,2,1
"4620","Kaisa","Hernberg","vihr",2,2,5,2,2,4,5,2,2,2,5,5,5,1,1,2,2,2,1,5,2,4,2,2,1,1,2,2,5,2,2,5,5,2,2,2,5,2,4,2,2,4,4,1,1,1,1,5,2
"4633","Kaisa","Liljanto","vas",5,5,5,4,1,5,5,1,1,5,5,4,5,1,1,1,2,2,5,5,1,5,1,1,1,1,1,5,5,4,2,5,5,2,3,1,5,1,5,1,1,4,3,3,1,1,3,5,5
"4679","Kalevi","Lundell","kd",4,5,1,1,1,3,4,1,2,5,3,5,3,5,1,1,5,3,5,1,5,4,3,1,4,3,1,4,1,4,5,1,4,1,5,1,3,4,4,4,5,1,5,5,5,1,5,5,1
"4690","Kalle","Hernberg","skp",2,5,5,5,1,5,5,1,1,5,5,1,5,1,1,2,4,4,5,5,2,5,1,2,1,1,1,4,4,4,2,5,5,4,1,2,5,1,4,4,1,2,5,1,1,1,1,5,4
"4706","Kalle","Polkutie","vas",5,5,5,4,1,5,5,1,1,5,5,3,5,1,1,1,4,4,4,5,4,2,2,1,1,1,1,5,2,2,3,5,5,2,2,1,5,1,5,4,2,3,5,1,1,1,1,5,5
"4756","Kari","Katajainen","sdp",5,4,5,2,2,5,4,1,1,5,4,5,2,2,1,2,1,1,5,4,4,3,1,4,1,3,3,3,4,4,2,4,5,4,4,4,4,2,4,2,1,3,3,2,4,2,4,5,3
"4768","Kari","Kälviä","vas",5,5,4,5,4,5,5,1,1,2,4,4,2,5,1,1,4,4,4,4,5,4,5,5,2,1,2,4,2,5,2,4,4,2,5,4,5,2,4,5,1,4,5,2,3,2,1,5,2
"4859","Karin","Palmén","rkp",4,4,5,2,1,4,5,2,2,2,5,3,5,1,1,2,2,2,2,5,2,4,2,2,2,2,2,2,5,2,2,5,5,4,2,2,5,2,4,4,1,4,3,1,1,2,1,4,4
"4861","Karin","Toyoda","rkp",1,5,5,3,1,4,5,1,1,1,1,1,1,1,1,2,5,5,1,4,5,2,4,1,1,1,1,1,1,1,3,2,2,1,2,1,5,1,4,4,1,1,1,1,1,5,2,1,1
"4862","Karin","Zeiger","ps",4,4,2,3,3,3,1,2,2,3,3,3,2,5,1,4,2,2,3,1,4,2,4,4,3,3,4,4,4,4,2,1,2,2,2,4,2,3,3,3,4,2,3,3,4,2,3,3,2
"4868","Karita","Toijonen","sdp",1,5,5,3,1,4,5,1,1,5,4,5,4,2,1,4,2,2,4,5,1,4,1,1,2,2,2,2,2,2,2,5,5,2,1,1,5,2,4,4,1,2,5,1,1,1,2,5,4
"4872","Karl-Mikael","Grimm","kesk",3,3,5,3,1,5,5,3,3,5,5,3,3,1,1,2,5,5,4,5,2,5,2,1,2,2,2,2,5,3,4,5,5,4,4,1,5,2,5,3,3,4,5,1,1,1,1,4,1
"4909","Katariina","Styrman","sdp",4,5,5,2,1,5,5,1,1,5,5,5,5,1,1,1,1,1,2,5,2,5,1,1,1,1,2,2,4,4,4,5,5,2,4,1,5,1,4,2,1,2,5,1,1,1,1,5,4
"4924","Kati","Juva","vihr",4,5,5,3,1,4,5,2,2,4,5,4,4,1,1,2,2,2,2,5,1,4,1,4,1,1,2,2,5,3,2,5,5,4,3,4,5,2,5,2,1,3,4,1,1,1,1,5,4
"4959","Katja","Ivanitskiy","kok",2,2,5,3,2,2,4,4,4,1,4,3,4,2,2,2,2,2,1,4,4,3,4,3,2,2,4,2,4,2,3,3,2,2,1,3,4,4,1,2,3,2,2,1,2,5,2,2,1
"4972","Katja","Käppi","vihr",3,2,5,2,4,4,5,2,2,4,5,3,5,1,1,1,1,1,2,5,3,5,2,2,1,1,1,1,5,2,1,5,5,1,4,1,5,1,5,4,1,4,4,1,1,1,1,1,1
"4977","Katja","Mannerström","vihr",4,4,5,3,1,4,5,1,1,5,5,5,5,1,1,1,2,2,2,5,1,4,2,1,1,1,1,2,4,1,2,5,5,1,4,1,4,2,4,2,1,4,3,1,1,1,1,5,1
"4981","Katja","Niemi","vas",5,5,5,3,1,5,5,1,1,5,5,3,5,1,1,4,3,3,2,5,1,5,1,1,1,1,3,3,5,3,2,5,5,3,1,1,5,1,5,3,1,2,5,1,1,1,1,5,2
"5017","Katri","Mehtonen","vihr",5,2,5,2,2,2,5,4,4,2,5,2,3,2,1,1,1,1,2,5,3,4,4,4,2,1,2,4,5,2,2,5,4,1,2,4,5,2,2,5,2,2,2,2,2,2,2,4,2
"5034","Katrina","Harjuhahto-Madetoja","kok",4,4,4,3,1,2,4,4,4,2,4,1,4,2,1,1,2,2,2,4,4,2,2,2,2,2,2,2,4,4,1,2,2,1,1,2,4,4,2,4,4,2,4,3,3,2,2,2,2
"5042","Kauko","Koskinen","kok",4,1,4.5,2,1,3,2,4,4,2,2,1,3,5,1,4,5,5,1,2,4,2,1,4,4,1,1,2,2,1,2,5,4,2,2,5,5,4,3,5,5,2,2,2,4,4,4,1,1
"5050","Kausti","Rantalainen","pir",5,4,5,4,2,4,2,2,2,2,4,4,5,2,1,2,4,4,4,2,3,4,4,4,2,2,2,5,4,4,3,3,4,2,2,4,4,4,4,4,1,3,4,2,3,1,2,5,4
"5073","Kenneth","Stambej","rkp",4,2,4,2,3,2,4,4,4,2,4,4,2,2,2,2,2,2,1,4,4,4,2,2,2,2,4,2,2,2,2,4,4,2,2,2,4,4,2,5,3,2,4,1,1,4,2,4,2
"5082","Kiia","Klemola","vihr",4,2,5,2,4,4,4,4,4,1,4,5,5,2,1,2,2,2,4,5,2,4,2,2,2,2,2,4,4,2,2,4,4,2,1,2,4,4,4,4,2,2,5,1,2,4,2,4,2
"5123","Kimmo","Kokkila","ps",4,2,5,4,4,2,1,4,4,2,4,2,2,3,4,2,1,1,1,1,4,4,3,4,5,2,5,4,4,4,3,1,2,1,2,4,2,3,2,4,2,2,4,2,5,4,4,2,2
"5147","Kimmo","Sarje","sdp",2,5,5,3,2,4,4,1,1,5,5,4,5,1,1,2,4,4,4,4,2,2,2,4,1,1,1,2,2,4,1,4,5,1,5,4,5,2,4,4,2,3,4,1,2,2,1,4,2
"5154","Kimmo","Tiilikainen","kesk",4,2,5,2,4,2,4,4,4,2,4,2,3,2,1,4,4,3,2,4,2,4,2,1,2,3,4,4,4,4,2,2,2,2,4,1,5,4,2,4,3,2,2,2,3,2,1,4,4
"5165","Kirsi","Helin","vihr",3,4,5,3,2,5,5,2,2,4,5,3,5,2,1,2,4,4,4,4,1,2,2,2,2,2,1,4,4,1,2,4,5,5,2,2,4,2,4,4,1,4,4,2,2,2,1,5,2
"5195","Kirsi","Pihlaja","vas",5,1,5,4,1,5,5,1,1,4,5,3,4,1,1,1,3,4,4,5,1,4,2,1,1,1,2,4,4,2,2,5,5,4,4,1,5,1,4,2,1,4,3,1,1,1,2,5,2
"5205","Kirsi","Sharma","kok",3,2,4,4,2,2,4,2,4,2,4,4,2,2,2,2,2,2,2,4,4,2,2,2,4,2,4,2,4,2,2,2,2,2,4,2,4,4,2,2,4,3,2,2,2,4,3,2,2
"5207","Kirsi","Sutton","sdp",4,5,5,3,1,4,5,2,1,5,4,4,4,2,1,2,3,3,2,5,1,4,2,4,1,2,3,5,2,3,1,4,5,2,4,4,5,3,4,2,2,3,3,1,1,2,4,4,4
"5223","Kirsti","Kangas","skp",3,1,5,5,1,1,5,1,1,5,5,1,3,1,1,1,3,3,5,5,1,3,1,1,1,1,1,5,4,1,5,5,5,5,1,1,5,1,1,2,1,4,5,1,1,1,1,5,1
"5240","Klaus","Riederer","ps",5,4,4,4,4,4,4,2,2,2,4,1,5,1,2,4,4,4,1,4,5,2,1,5,2,2,1,5,4,1,4,4,4,2,4,5,4,4,4,5,1,2,2,1,4,4,2,4,4
"5242","Klaus","Sallinen","kesk",2,2,4,4,2,4,3,2,3,4,4,2,2,2,1,2,4,4,4,3,3,4,2,2,3,1,1,2,2,2,2,3,4,4,4,2,4,2,4,4,4,4,3,4,3,3,2,3,2
"5247","Konsta","Nupponen","kok",5,2,5,2,4,2,5,4,4,2,5,5,4,2,2,2,1,1,1,5,2,4,4,1,4,2,1,2,5,2,2,3,2,4,4,1,5,4,2,2,1,4,3,2,4,2,2,4,4
"5254","Krista","Bister","ps",5,4,4,5,3,1,1,4,4,2,4,4,2,5,1,1,1,1,4,1,4,5,4,4,3,1,2,2,5,3,3,1,1,1,2,4,1,4,1,3,4,3,1,1,5,3,4,4,1
"5259","Krista","Lyyränen","kd",1,2,1,1,1,4,4,4,2,2,2,1,2,4,2,2,4,4,1,4,5,5,1,2,4,1,1,4,2,2,5,1,4,1,5,1,2,2,4,4,4,2,5,1,5,2,5,5,1
"5280","Kristiina","Anunti","kok",5,3,5,3,1,1,1,3,4,1,2,1,1,5,5,1,4,4,1,2,4,5,1,5,5,4,5,5,1,1,1,1,1,4,1,5,2,5,1,5,4,1,4,1,5,5,4,2,4
"5286","Kristiina","Ilvonen","kok",5,2,5,2,4,2,3,2,2,2,5,2,4,2,2,1,2,1,2,4,4,4,3,2,2,1,2,4,4,2,2,2,1,1,4,2,5,4,2,4,1,2,3,2,3,4,2,4,3
"5291","Kristiina","Kunnas","kd",1,3,3,3,3,2,4,3,3,2,4,3,4,4,1,1,3,3,2,4,2,2,2,3,1,2,3,2,2,2,4,4,2,2,3,3,4,3,2,5,5,5,3,2,2,2,3,4,2
"5294","Kristiina","Michelsson","rkp",4,2,5,3,4,1,5,4,4,1,4,4,2,3,4,4,2,2,2,5,2,4,4,3,1,2,2,5,2,2,1,2,2,2,4,2,5,4,2,4,3,2,4,1,3,4,2,4,1
"5313","Kristina","Juth","rkp",5,3,5,1,2,2,5,2,3,1,4,2,1,1,1,3,4,4,1,5,2,5,4,4,2,2,4,4,4,1,1,5,4,4,5,4,5,1,2,5,2,4,2,1,2,4,2,2,2
"5370","Lasse","Pipinen","kok",2,1,5,3,2,1,5,4,4,2,4,4,4,2,1,1,1,1,1,5,1,5,4,2,1,2,3,4,4,2,1,5,2,2,1,2,5,2,1,2,3,2,1,2,2,4,3,2,1
"5377","Lassi","Ikäheimo","vihr",4,4,5,4,2,4,5,2,2,2,5,3,5,2,1,2,5,5,3,4,1,5,2,3,1,1,3,4,4,3,2,3,4,2,4,3,5,4,4,4,2,3,4,1,2,2,1,4,4
"5392","Laura","Alanko","kesk",3,3,3,3,4,4,4,3,3,2,4,2,2,4,2,2,4,4,4,5,4,4,1,2,2,2,2,4,4,3,4,3,4,4,4,2,5,2,4,3,4,4,3,2,2,2,2,4,2
"5397","Laura","Euro","vihr",3,5,5,4,1,5,5,2,2,4,5,2,5,1,1,1,1,1,2,5,1,5,2,1,1,1,1,2,5,2,4,5,5,4,4,1,5,1,1,2,1,5,4,1,1,1,1,5,2
"5398","Laura","Finne-Elonen","rkp",1,5,5,4,1,2,5,1,1,2,4,1,4,1,1,2,4,4,2,5,4,4,1,2,1,2,1,1,1,2,4,4,5,1,2,2,5,2,2,4,2,2,2,1,3,2,2,4,2
"5406","Laura","Jokela","ps",5,3,5,4,2,4,1,4,4,5,4,1,2,4,1,1,2,2,1,1,5,5,2,5,2,2,1,3,2,1,5,1,1,1,2,5,1,2,4,5,4,1,1,1,5,4,1,2,1
"5415","Laura","Kolbe","kesk",2,2,5,3,2,3,4,2,2,2,4,3,3,2,1,1,3,3,2,3,2,3,2,1,1,2,1,2,4,4,3,3,2,2,2,1,4,2,4,4,2,4,3,1,2,2,2,4,3
"5416","Laura","Kouvonen","kd",4,4,5,4,5,4,4,4,5,3,5,1,4,3,1,5,5,5,2,5,5,5,3,1,5,1,1,4,3,1,3,4,5,3,3,1,5,3,2,5,2,1,3,3,1,2,1,4,2
"5417","Laura","Lakso","kesk",4,4,5,3,2,4,5,2,2,4,4,4,4,2,1,2,5,5,4,5,4,4,2,2,4,1,4,2,5,2,2,4,4,2,2,2,5,2,4,4,2,4,2,2,1,2,4,5,1
"5423","Laura","Lintula","vas",4,4,5,3,2,4,5,1,1,4,5,2,5,1,1,1,2,1,2,4,2,4,1,1,1,1,2,5,5,2,1,4,4,3,2,1,5,2,4,4,1,3,5,2,2,2,1,5,5
"5429","Laura","Niitamo","kd",4,5,3,4,2,5,1,2,2,2,2,1,1,5,4,4,2,2,1,1,4,4,2,1,2,2,2,2,2,1,4,1,2,5,1,1,4,2,4,4,5,4,5,2,5,1,4,4,4
"5430","Laura","Nordström","vihr",4,5,5,4,1,5,5,2,2,5,5,4,5,1,1,1,2,2,4,5,1,4,1,1,1,1,1,4,5,4,1,5,5,4,4,1,5,2,5,2,2,4,4,1,1,1,1,5,2
"5441","Laura","Päiviö","skp",4,5,4,4,4,5,2,1,1,2,4,1,4,2,1,4,1,1,5,2,4,4,2,4,1,1,1,2,1,2,3,4,2,5,5,4,5,1,5,4,2,2,5,3,5,1,1,5,2
"5444","Laura","Rissanen","kok",4,2,5,1,1,1,5,4,4,2,4,4,5,2,1,1,2,2,1,5,2,2,1,1,1,2,4,1,4,1,1,4,5,1,1,1,5,4,1,2,2,2,1,1,2,4,2,2,2
"5445","Laura","Rontu","skp",3,5,5,4,1,5,5,1,1,5,5,2,5,2,1,2,5,5,5,5,1,5,1,2,1,1,1,4,4,2,2,5,5,2,4,2,5,1,5,4,1,4,5,1,1,1,1,5,2
"5453","Laura","Vanamo","kok",5,1,5,1,4,4,5,4,5,2,4,4,3,3,1,2,1,1,2,3,1,2,4,2,1,1,4,5,4,4,5,1,4,1,5,1,5,3,5,5,2,3,2,1,2,1,4,5,1
"5454","Laura","Varjokari","kok",4,2,5,3,2,2,4,4,4,2,4,3,4,4,1,1,2,2,2,4,4,4,2,4,2,2,2,1,4,2,2,2,2,2,2,4,4,4,2,2,4,2,2,1,3,4,2,2,2
"5459","Lauri","Alhojärvi","skp",4,5,5,5,1,5,5,1,1,5,5,2,5,1,1,2,1,1,5,5,2,2,4,1,1,1,1,5,5,4,2,5,5,4,2,1,5,1,5,5,1,2,5,2,1,1,1,5,2
"5465","Lauri","Hautamäki","ps",5,5,1,5,5,5,1,1,1,4,5,1,5,5,1,5,1,1,5,1,5,1,5,5,5,1,1,4,5,1,1,1,5,1,5,5,1,1,5,5,5,2,5,5,5,2,4,5,1
"5489","Lauri","Mustonen","ps",5,5,2,5,2,4,3,2,4,2,4,4,2,4,1,2,4,4,2,2,4,2,1,4,3,2,2,4,2,4,4,1,4,2,4,4,4,5,5,5,4,2,5,4,5,2,5,4,2
"5502","Lauri","Skön","kok",5,1,5,4,4,2,4,5,5,2,5,5,4,2,2,2,2,1,1,5,2,5,4,2,2,2,4,2,5,4,2,2,1,1,4,2,5,4,2,1,2,1,2,2,2,4,1,1,4
"5510","Lauri","von Pfaler","vas",5,5,5,4,1,5,5,1,1,5,5,4,5,1,1,1,4,4,5,5,1,4,2,1,1,1,1,5,5,5,1,5,5,5,1,1,5,1,5,2,1,1,5,1,1,1,1,5,4
"5525","Lea","Saukkonen","kok",1,3,5,3,2,2,4,4,4,2,4,4,4,4,2,2,4,4,2,3,3,4,4,3,2,2,2,4,2,3,4,3,4,4,4,3,5,3,2,4,4,3,3,2,3,4,2,2,2
"5529","Leea","Halmetoja","sdp",3,5,5,2,1,2,4,2,1,5,5,4,5,2,1,1,4,4,2,4,1,4,2,2,2,1,1,2,2,2,2,4,5,4,4,2,5,2,2,4,4,4,2,2,2,1,2,5,2
"5538","Leena","Hoppania","kok",5,1,5,2,1,1,5,5,5,1,4,1,1,1,1,1,2,2,1,5,2,2,2,2,1,3,2,2,2,1,1,4,4,1,4,2,5,5,1,2,4,1,1,1,1,4,1,4,1
"5568","Leena","Riittinen","vihr",5,5,5,1,1,5,5,1,1,4,5,4,5,1,1,1,2,2,2,5,1,3,1,1,1,1,1,2,5,1,1,5,5,4,1,1,5,1,5,1,1,4,1,1,1,1,1,5,1
"5588","Leila","Kaleva","kok",3,4,4,3,2,1,4,2,2,2,4,5,1,2,1,2,3,3,1,4,4,2,2,4,2,3,4,2,4,1,1,2,2,2,2,4,2,4,1,2,4,3,1,1,4,4,2,2,4
"5601","Leila","Vasama","sdp",3,5,5,2,2,4,5,1,1,4,4,5,4,2,1,1,4,4,1,4,2,4,2,2,1,1,1,2,2,4,2,4,5,5,2,1,4,2,4,2,2,1,5,1,1,1,2,5,2
"5617","Leo","Stranius","vihr",4,5,5,4,1,5,5,1,1,5,5,4,5,1,1,1,2,2,4,5,1,4,2,1,1,1,1,4,5,2,4,5,5,4,4,1,5,1,5,2,1,4,4,1,1,1,1,5,2
"5621","Liina Veronica","Isto","ps",5,4,4,4,5,1,1,2,2,1,4,1,4,5,1,5,4,4,1,1,5,2,5,5,4,2,2,4,5,2,4,1,2,1,4,5,2,4,2,1,4,1,2,2,5,4,4,2,2
"5622","Liina","Tiusanen","kesk",1,4,5,4,1,4,5,2,2,2,5,4,5,2,1,1,4,4,4,5,1,4,2,1,1,2,2,4,4,2,2,5,4,2,4,1,5,4,4,2,4,2,2,1,1,2,1,5,2
"5628","Liisa","Haakana","kd",1,5,1,3,1,5,4,1,1,2,5,1,1,1,1,5,5,5,1,1,3,1,1,5,3,1,1,4,1,1,5,5,1,1,5,5,4,1,5,5,5,2,5,3,4,1,1,5,1
"5645","Liisa","Maunola","skp",5,3,4,4,4,2,4,3,3,5,4,2,2,5,1,4,1,1,5,2,4,2,2,4,4,1,4,4,2,4,4,2,4,4,4,4,4,4,2,4,2,4,4,4,4,3,4,4,4
"5646","Liisa","Melin","rkp",4,3,4.5,1,1,4,5,2,2,2,5,1,2,2,1,4,4,5,1,5,3,1,1,1,1,2,1,4,2,1,2,5,5,1,4,1,5,2,5,4,2,3,4,1,1,1,2,4,1
"5664","Lilja","Tamminen","vihr",5,3,5,3,2,3,4,3,3,5,5,5,4,2,1,1,1,1,4,4,2,4,4,4,2,1,3,3,5,4,2,4,5,2,5,4,4,2,4,2,1,3,5,2,2,3,2,3,1
"5669","Linda","Ahlblad","rkp",4,5,5,4,2,2,4,4,4,2,5,4,4,4,1,2,2,2,4,4,4,2,2,4,2,2,1,4,1,4,4,4,2,4,2,4,4,2,2,5,2,4,2,1,4,2,1,4,1
